=== 07_吕祖灵签 ===

（请将 07_吕祖灵签 的签文原文粘贴在这里）
1 上上｜古人王母祝寿
蓬莱东阁玉桃香，顺水推舟仙赐方；宜男正好图全计，不必他方觅短长。 解：大吉大利，万事顺遂。正缘、正财、事业皆顺，贵人扶持，心想事成。
2 上吉｜古人潜龙变化
潜藏自有光明日，守耐无如待丙丁；龙虎相遭生大利，君今起步得芳津。 解：先困后达，转机将至。宜守不宜急，时机一到，名利双收。
3 中吉｜古人鲁班修庙
巍巍宝殿势峥嵘，斧凿功夫用意深；一旦功成垂万古，贵人指引遇知音。 解：靠技艺 / 实力成事。辛苦但有回报，事业稳，财运渐丰。
4 下下｜古人董永卖身
卖身葬父孝为先，历尽艰辛始得缘；莫道眼前多坎坷，云开月出自安然。 解：付出多、回报迟。易破财、受累，感情多波折，需忍耐。
5 中平｜古人韩湘子渡叔
云横秦岭家何在，雪拥蓝关马不前；若得贵人相指引，一时风送过前川。 解：阻滞多、前路迷茫。需贵人点拨，不可硬闯，守旧为宜。
6 上上｜古人姜子牙钓鱼
渭水垂钓待时来，直钩不钓世间财；一朝得遇文王聘，万里鹏程任剪裁。 解：大器晚成，贵人提携。事业腾飞，财运亨通，婚姻美满。
7 上吉｜古人文君私奔
琴心暗许两情投，冲破尘缘万里愁；好事多磨终有果，花开并蒂占鳌头。 解：感情主动可得。缘分强烈，虽有阻力，终能成眷属。
8 下下｜古人霸王被困
九里山前杀气高，八千子弟散荒郊；英雄末路无依靠，财运功名两寂寥。 解：绝境、大败、破财。事业受阻，投资必亏，感情破裂，诸事不宜。
9 中吉｜古人张良进履
圯桥进履敬贤良，隐忍方能遇贵帮；莫道眼前多屈抑，他年位列紫薇郎。 解：以退为进，得贵人助。先受委屈，后获重用，财运渐好。
10 中平｜古人苏秦不第
十上功名十不成，囊中羞涩气难平；一朝得志还乡日，衣锦荣华耀祖庭。 解：时运未到，屡试不第。事业受阻，财运平平，需静待时机。
11 上吉｜古人合兵破曹
一个兔儿一个鸡，等全无不合人思；有朝遇著东风力，且看天公造化机。 解：合作大吉，借力成事。合伙、团队、婚姻皆吉，顺风得利。
12 中平｜古人太白醉写
御手调羹意气豪，醉中挥笔显才高；一朝宠尽恩荣歇，依旧孤云野鹤翱。 解：才华外露，昙花一现。名气有、难长久，财运起伏，感情易变。
13 上上｜古人刘备登基
蜀川基业已分明，五虎同心辅圣明；天意人心皆顺泰，荣华富贵享升平。 解：大业可成，地位稳固。事业登顶，财运鼎盛，家宅安宁。
14 中吉｜古人牛皋战兀术
一战功成胆气豪，金戈铁马破尘嚣；虽非绝世无双士，亦有英名著锦袍。 解：小胜可期，贵在坚持。努力有回报，事业稳进，财运渐佳。
15 下下｜古人嫦娥奔月
